n,projet,nom,type,secteur,pays,responsable,annee,initiative,nature_appui,montant_appui,telephone,email
1,P14,GIRIYUJA ASBL,,Commerce,Burundi,,2023,"Projet de l’autonomisation économique, un tremplin pour la dignité des filles-mères/mères-celibataires du site des déplacés de Ruhororo en province de Ngozi",,80000,,
2,P14,GLOBSUD,,"Construction, TIC, Agriculture, sylviculture et pêche, Energie et environnement",Cameroun,,2023,Culture maraîchère écologique comme activité génératrice de revenus au profit des femmes et des filles déplacées internes du bassin maraîcher de Foumbot à l’Ouest du Cameroun,,57600,,
3,P14,Amicale Pour le Développement Durable,,"Culture, sport et loisirs, Construction",Bénin,,2023,Leadership Féminin du style Art Déco (LFAD),,38443.07,,
4,P14,Association IBUDO,,"Energie et environnement, TIC",Bénin,,2023,Women Startup Incubator  (WoSI),,23493.37,,
5,P14,Association pour la Promotion de l'Agriculture Biologique,,"Agriculture, sylviculture et pêche, Services financiers",Bénin,,2023,Projet de renforcement de l’autonomisation des femmes par la production de tomate biologique sur un site de production intensive à Allada,,15000,,
6,P14,Association the Light of the World for the Development,,"Industrie, Energie et environnement, Commerce",Bénin,,2023,"Appui à la formation professionnelle en cuisine-restauration, en transformation agro-alimentaire et en fabrication des emballages écologiques biodégradables pour l’autonomisation des jeunes filles et femmes vulnérables de Glo-djigbé  (Abomey-Calavi)",,16456,,
7,P14,ONG Terre Développement et Résilience,,"Industrie, Energie et environnement, TIC, Commerce, Gouvernance et droits",Bénin,,2023,Autonomisation Economique de deux Coopératives Féminines dans le Zou au Bénin (EcoFem.bj),,40000,,
8,P14,Groupement des femmes des collectivités publiques locales du Cameroun,,"Agriculture, sylviculture et pêche, Commerce, Santé, SSR et services sociaux",Cameroun,,2023,Projet de renforcement des capacités des femmes déplacées internes du département de l’Océan dans le développement de l’entrepreneuriat agricole innovant,,70000,,
9,P14,Association Nationale pour l’Education et la Réinsertion Sociale des Enfants à Risques,,"Industrie, Energie et environnement",Burkina Faso,,2023,Projet de développement des compétences pour une meilleure employabilité et autonomisation de 540 filles et des femmes déplacées internes dans 5 régions du Burkina,,91000,,
10,P14,Association Nourrir Sans Détruire,,"Agriculture, sylviculture et pêche, Industrie, Lutte contre les VBG et VSS, Gouvernance et droits",Burkina Faso,,2023,PAGA YIKI pour le relèvement économique des femmes déplacées internes de la province de Gourma,,97669,,
11,P14,Association pour le Développement Namalgbzanga du Centre Nord,,"Agriculture, sylviculture et pêche, Industrie, Santé, SSR et services sociaux",Burkina Faso,,2023,Autonomisation économique et sociale de 100 femmes et jeunes filles dont 60 déplacées internes et 40 issues de la communauté hôte de la commune de Kaya,,20512,,
12,P14,Association Todi Yaba,,"Construction, Education et formation, Commerce, Energie et environnement",Burkina Faso,,2023,« TIN TODI » pour l’autonomisation économique de la fille et de la jeune femme déplacées internes dans la région de l’Est,,70000,,
