code,libelle,description,objectifs,beneficiaires,impacts
PROJ_A01a,"LA LANGUE FRANÇAISE, LANGUE INTERNATIONALE","Le projet « La langue française, langue internationale » vise à renforcer et valoriser l’usage de la langue française. Il entend promouvoir cet usage auprès des États et gouvernements, des organisations internationales, des populations francophones et plus globalement, de tous ceux qui parlent la langue française à travers le monde.Ce projet intervient dans un contexte de monolinguisme dominant qui fait peser un risque inquiétant sur la diversité des expressions et de la pensée. L’hégémonie ling","Valoriser et renforcer l’usage et l’influence de la langue française auprès des États et gouvernements, des organisations internationales, des populations francophones et, plus globalement, de tous ceux qui parlent le français dans le monde","Ce projet bénéficie prioritairement à trois groupes : 
(i) les décideurs nationaux et internationaux ;
(ii) les acteurs de la création artistique et culturelle ;
(iii) les communautés francophones dans le monde","Ce projet a pour impact d’améliorer et de renforcer l’utilisation de la langue française et d’augmenter la vitalité et l’intensité de l’activité culturelle et intellectuelle en langue française, tout en renforçant l’influence de la Francophonie à l’échelle mondiale. Cela se mesurera par les effets suivants :
• une augmentation significative du nombre de décideurs certifiés (diplomates, fonctionnaires nationaux et internationaux) à la pratique du français au sein des administrations nationales et"
PROJ_A01b,OBSERVATOIRE DE LA LANGUE FRANÇAISE,,,,
PROJ_A01c,"CREATION CULTURELLE, ARTISTIQUE ET PRODUCTION DE CONNAISSANCE EN FRANÇAIS",,,,
PROJ_A02,"LA LANGUE FRANÇAISE, LANGUE D’ENSEIGNEMENT ET D’APPRENTISSAGE","Ce projet vise à renforcer les compétences professionnelles des enseignants de et en français en contexte multilingue, en encourageant leur mobilité, en s’appuyant sur des méthodes éducatives innovantes et des approches pédagogiques modernes et en facilitant les échanges et les bonnes pratiques.
L'OIF s’appuie, pour ce faire, sur une approche structurante de co-construction avec les États et gouvernements membres. Son accompagnement des structures nationales en faveur d’un enseignement de qualit",Promouvoir et soutenir un enseignement de et en langue française de qualité afin de favoriser l’émergence et le renforcement des écosystèmes éducatifs francophones.,"Le projet bénéficie à trois groupes clairement identifiés :

(i) les États et gouvernements souhaitant améliorer la qualité de 
leur enseignement du et en français ;
(ii) la communauté des enseignants de et en français ;
(iii) les apprenants de français.","Ce projet a pour impact l’amélioration substantielle de la qualité de l’enseignement en langue française d’ici 2027, grâce à une augmentation de 30 % du taux de réussite scolaire des élèves pour lesquels les enseignants ont bénéficié d’un accompagnement de l’OIF. Cela se mesurera par les effets suivants :
• l’adoption de plans d’actions en faveur d’un enseignement du français et en français de qualité ;
• plus de 50 000 enseignants touchés par des formations et les ressources disponibles sur la "
PROJ_A03,INITIATIVE FRANCOPHONE POUR LA FORMATION À DISTANCE DES MAÎTRES (IFADEM),"L’Initiative francophone pour la formation à distance des maîtres (IFADEM) vise à contribuer de manière significative à la consolidation de l’usage du français en tant que langue d’enseignement, d’apprentissage et de communication. Il adopte une approche novatrice pour relever ces défis éducatifs qui conditionnent l’avenir de millions de jeunes. Cette initiative transforme la manière dont les enseignants sont formés, avec pour objectif d’assurer à chaque individu un accès à une éducation de qual","Renforcer la qualité de l’éducation dans le respect de la diversité linguistique. De facon spécifique, contribuer à l’amélioration de la qualité des enseignements et apprentissages par le renforcement des compétences professionnelles des enseignants et du personnel de supervision.","Le projet se déploiera prioritairement dans les zones rurales d’Afrique de l’Ouest (Burkina Faso, Bénin, Mali, Niger, Côte d’Ivoire, Sénégal, Guinée), d’Afrique centrale (République centrafricaine, Burundi, Cameroun, Tchad, République démocratique du Congo), de l’océan Indien (Comores, Madagascar), d’Asie-Pacifique (Vanuatu), des Caraïbes (Haïti) et du Moyen-Orient (Égypte, Liban).

Quatre groupes cibles seront directement visés :
(i) les enseignants et les directeurs d’école de l’éducation de b","Ce projet a pour impact l’accroissement des compétences en français et en mathématiques de plus de 80 % des élèves des classes dotées d’enseignants formés par le projet. Cela se mesurera par les effets suivants :
• 10 ministères de l’Éducation appuyés développent et mettent en œuvre des dispositifs de formation à distance ;
• 80 % des 75 000 enseignants et directeurs d’écoles formés maîtrisent (taux de réussite à l’évaluation finale de 80 %) et mettent en œuvre des pratiques pertinentes, innovan"
PROJ_A04,ÉCOLE ET LANGUES NATIONALES (ELAN),"Le projet « École et langues nationales » vise à améliorer l’apprentissage scolaire par une intégration optimale des langues nationales au sein des programmes éducatifs.
Ce projet intervient dans un contexte mondial marqué par des défis éducatifs d’une nouvelle ampleur. Les progrès considérables accomplis ces dernières décennies n’arrivent pas à garantir un accès universel à l’éducation. Si l’augmentation des budgets alloués à l’éducation, l’amélioration des infrastructures scolaires et le recru",Renforcer la qualité de l’éducation dans le respect de la diversité linguistique.,"Le programme intervient prioritairement en Afrique de l’Ouest, en Afrique centrale et dans l’Océan Indien. Les pays impliqués sont le Bénin, le Burkina Faso, le Burundi, le Cameroun, la Côte d’Ivoire, la Guinée, Madagascar, le Mali, le Niger, la République démocratique du Congo, le Sénégal et le Togo. Des perspectives de partenariat sont envisagées avec de nouveaux pays comme Djibouti, la Guinée Bissau, la Mauritanie et le Tchad.
Les actions du projet bénéficient directement à trois catégories d","Ce projet a pour impact le renforcement des compétences en lecture et en mathématiques de 80 % des élèves des classes dotées d’enseignants formés par le projet. Cela se mesurera par les effets suivants :
• plus de 70 % des acteurs éducatifs appuyés sont capables de tenir des classes bilingues et de concourir au développement d’une expertise nationale en la matière ;
• au moins 50 % des pays bénéficiaires ont pris des initiatives (textes législatifs, plaidoyer, création de structures dédiées) pou"
PROJ_A05,"ACQUÉRIR DES SAVOIRS, DÉCOUVRIR LE MONDE","Les ""centres de lecture et d’animation culturelle » (CLAC), lieux de culture et de débats, contribuent à offrir une compréhension approfondie des idées, des cultures et des enjeux de société aux jeunes et aux moins-jeunes. Ils sont ainsi mieux équipés pour participer activement et sereinement à la vie publique, contribuer à des solutions constructives et œuvrer pour des sociétés apaisées et un monde plus pacifique. Forts de 30 ans d’existence, les CLAC traduisent la conviction de l’OIF que la cu","Renforcer l’accès des populations périurbaines et rurales (notamment les jeunes et les femmes) aux savoirs, à la culture, à l’information, pour améliorer les apprentissages et l’éducation, l’inclusion sociale et le développement local","Le projet ciblera son intervention dans les pays et zones d’implantation des CLAC existants et interviendra également à la demande des États désireux de mettre en place un réseau de CLAC.

Le projet bénéficie à quatre groupes clairement identifiés : 
(i) Les populations issues des centres périurbains et ruraux, en particulier les jeunes et les filles ;
(ii) les acteurs de la création artistique et culturelle ;
(iii) les acteurs du monde éducatif ;
(iv) les ministères et les collectivités territo","Ce projet a pour impact l’amélioration de l’accès de la lecture publique dans les pays couverts. Cela se traduira par les effets suivants : 

• l’accès à près de 5 millions d’usagers, en particulier les filles et les jeunes, à des contenus culturels, numériques et éducatifs ;
• la participation à plus de 150 000 activités proposées dans l’ensemble du réseau."
PROJ_A06,INDUSTRIES CULTURELLES ET DÉCOUVRABILITÉ : UNE AMBITION FRANCOPHONE ET MONDIALE,"Face à la mondialisation et à l’homogénéisation des pratiques culturelles, les industries culturelles francophones jouent un rôle essentiel en matière de préservation de la diversité culturelle et linguistique. Elles contribuent à la valorisation des patrimoines locaux et des expressions culturelles, ainsi qu’à la création de moyens d’existence durables, notamment pour les jeunes et les femmes. Elles sont vectrices et moteurs de croissance économique et de développement social. À titre d’exemple","Promouvoir le rayonnement et l’excellence des industries culturelles francophones, en renforçant la création, la diffusion, la découvrabilité et la monétisation de leurs contenus, à la fois physiques et numériques.","Le projet concerne l’ensemble de l’espace francophone, mais avec une priorité accordée aux pays d’Asie-Pacifique, d’Afrique de l’Ouest, d’Afrique centrale, d’Afrique du Nord, de l’océan Indien, du Moyen-Orient et des Caraïbes. Le projet bénéficie aux trois groupes suivants :
(i) les artistes et les créateurs professionnels de contenus culturels
francophones, et plus particulièrement les femmes et les jeunes ;
(ii) les petites et moyennes entreprises ainsi que les associatons
qui œuvrent à la dis","En termes d’impact, ce projet doit permettre une augmentation de l’ordre de 20 % des revenus des artistes et créateurs soutenus. Cela se mesurera par les effets suivants :
• l’augmentation du chiffre d’affaires de 15 % des entreprises et des associations culturelles soutenues ;
• l’amélioration de 15 % de la visibilité des contenus culturels francophones en ligne et physiques d’ici la fin du quadriennum ;
• l’augmentation de 25 % de l’utilisation de compétences numériques liées à la découvrabili"
PROJ_A07,JEUX DE LA FRANCOPHONIE,"La Francophonie œuvre depuis toujours à promouvoir la compréhension mutuelle, la diversité, le respect et la coopération entre ses États et gouvernements membres. Les Jeux de la Francophonie, créés en 1987, incarnent parfaitement cette volonté d’échanges et d’amitiés. Ils sont en effet un événement sportif et culturel international réunissant des jeunes talents issus des cinq continents. Ils offrent une occasion exceptionnelle aux jeunes artistes et sportifs, qu’ils soient émergents ou reconnus,","Faire des jeux de la Francophonie (i) un espace de rencontres et de dialogue entre jeunes artistes et sportifs francophones et un (ii) levier de promotion des valeurs de la Francophonie (sport, langue française, diversité culturelle).","Les bénéficiaires des Jeux de la Francophonie sont nombreux et variés, avec un impact local et international.

(i) Participants : Athlètes et artistes bénéficient en se mesurant à leurs pairs, en développant leurs compétences, et en gagnant en visibilité à l’échelle internationale.
(ii) États et gouvernements : Les États membres de l'OIF promeuvent leur culture et leurs talents, tandis que le pays-hôte bénéficie d'un impact économique grâce au tourisme et à l'organisation de l'évènement.
(iii) C","En termes d’impact, ce projet doit permettre :

• Une augmentation du nombre de jeunes talents francophones engagés dans des pratiques artistiques et sportives à l’échelle internationale.
• Une meilleure visibilité des talents francophones avec une influence accrue sur la scène mondiale.
•Une amélioration des infrastructures et retombées économiques positives pour les pays organisateurs.
• Une influence accrue de la Francophonie sur la scène internationale, en consolidant son rôle dans la promot"
PROJ_A08,RADIO JEUNESSE SAHEL,"Dans une région confrontée à une conjonction de périls sans précédent, le projet « Radio Jeunesse Sahel » veut offrir un espace d’expression et d’ouverture à la jeunesse sahélienne. Il se donne comme ambition de susciter de nouvelles formes de dialogue, d’actions, de solidarité, de prises de parole et d’expériences culturelles. Faite avec, par et pour les jeunes du Burkina Faso, du Mali, de la Mauritanie, du Niger et du Tchad, Radio Jeunesse Sahel (RJS) est diffusée en français, arabe, bamanakan","Soutenir durablement la création et la diffusion de contenus et de produits culturels francophones, afin de favoriser le vivre ensemble et une vision constructive de l’avenir aux jeunes.","Le projet est mis en œuvre dans les cinq pays de la région du Sahel (le Burkina Faso, le Mali, la Mauritanie, le Niger et le Tchad).Trois groupes cibles seront visés : 

(i) un public jeune âgé de 15 à 35 ans et représentant toute la diversité de ces pays ;
(ii) les institutions (ministères, présidents des autorités de régulation de médias, etc.) ;
(iii) la société civile (associations de femmes et de jeunes, etc.).","Ce projet a pour impact l’augmentation de 10 % des jeunes qui participent à la vie de leur communauté et s’expriment dans les débats sociaux, culturels et politiques. Cela se mesurera par les effets suivants :

•  60 % des jeunes prennent conscience des valeurs, des intérêts et de la diversité qui définissent leur environnement, renforçant ainsi leur tolérance et leur compréhension du vivre ensemble ;
•  30 % des jeunes accompagnés sont engagés envers des actions porteuses de développement pour "
